UZ169	Montenegro	November, Tuesday	15 : 6
PF277	Saint Martin	April, Tuesday	21 : 31
BE172	Trinidad and Tobago	June, Friday	5 : 56
BT155	Burundi	July, Sunday	19 : 24
BE157	France	February, Thursday	23 : 6
EH129	Algeria	March, Thursday	11 : 8
CV128	Netherlands Antilles	October, Saturday	4 : 18
DM141	Guyana	November, Sunday	22 : 13
RU209	Venezuela	December, Wednesday	15 : 36
CF175	El Salvador	August, Thursday	7 : 30
CK143	Uruguay	July, Saturday	6 : 22
MM205	Palestinian Territory	July, Tuesday	6 : 32
LR284	Finland	August, Sunday	23 : 5
AQ202	Israel	January, Wednesday	6 : 31
MZ204	Virgin Islands, British	January, Saturday	8 : 31
EH118	Bosnia and Herzegovina	July, Wednesday	4 : 27
SD206	American Samoa	May, Monday	12 : 11
VG209	Malaysia	March, Tuesday	19 : 47
GE133	Bangladesh	January, Monday	19 : 52
NF236	China	March, Friday	1 : 39
BE292	Zambia	November, Sunday	9 : 57
AS119	Brunei Darussalam	May, Monday	17 : 40
VU229	Belarus	February, Friday	17 : 40
IR276	Lao People's Democratic Republic	March, Sunday	3 : 8
MY162	Pitcairn Islands	May, Saturday	20 : 1
LI107	Bahrain	December, Monday	19 : 39
ES151	Palau	October, Tuesday	10 : 24
FI252	Gambia	December, Tuesday	12 : 10
SI228	Serbia	January, Saturday	15 : 36
UG169	Poland	April, Thursday	4 : 28
GL176	France	November, Monday	13 : 30
ET290	South Georgia and the South Sandwich Islands	February, Friday	17 : 3
KR229	Saint Lucia	April, Saturday	9 : 7
AM130	Spain	February, Friday	16 : 42
LV109	Suriname	November, Monday	10 : 50
MW295	Seychelles	April, Saturday	20 : 25
LI112	Finland	February, Friday	5 : 43
PW218	United States of America	May, Wednesday	20 : 37
LR236	Syrian Arab Republic	August, Monday	18 : 40
HM249	Svalbard & Jan Mayen Islands	April, Thursday	4 : 14
TN247	Bouvet Island (Bouvetoya)	July, Tuesday	18 : 15
TH291	Haiti	January, Thursday	16 : 2
MS199	El Salvador	April, Sunday	1 : 12
TO116	Belarus	May, Friday	2 : 48
BS223	Norfolk Island	January, Friday	17 : 54
DM295	Christmas Island	November, Tuesday	20 : 35
FJ218	Nauru	April, Friday	8 : 7
UG243	French Southern Territories	May, Monday	9 : 24
BT169	Eritrea	September, Thursday	19 : 8
SD298	Italy	June, Saturday	19 : 46
CV116	Zambia	August, Wednesday	11 : 2
GS230	Ecuador	March, Tuesday	5 : 1
RE252	Albania	October, Thursday	20 : 3
ZM169	Switzerland	March, Tuesday	12 : 7
AD181	Chile	February, Wednesday	20 : 44
AL127	Tonga	April, Monday	14 : 22
KY122	Antarctica (the territory South of 60 deg S)	June, Wednesday	22 : 36
IO145	Antarctica (the territory South of 60 deg S)	July, Wednesday	10 : 54
BB205	Democratic People's Republic of Korea	April, Saturday	8 : 14
UG202	Angola	July, Wednesday	14 : 23
CV267	Faroe Islands	September, Sunday	12 : 42
KN204	Togo	January, Monday	5 : 37
CD264	Nepal	January, Tuesday	5 : 27
SK171	Hong Kong	March, Saturday	1 : 15
MD187	Barbados	July, Thursday	17 : 11
AF258	Solomon Islands	June, Sunday	3 : 14
PW271	Belgium	February, Thursday	19 : 3
VI148	Liberia	November, Sunday	2 : 57
MH145	Montserrat	June, Thursday	9 : 37
NI121	Israel	July, Sunday	11 : 48
TW133	Andorra	September, Thursday	12 : 18
HR257	Kuwait	October, Sunday	16 : 26
VN222	Lesotho	October, Thursday	2 : 40
ZA189	Greece	May, Tuesday	19 : 37
YE250	Israel	July, Wednesday	5 : 11
NE261	Germany	May, Tuesday	10 : 45
PA284	Pakistan	September, Monday	12 : 48
IE280	Botswana	November, Friday	3 : 11
CO259	Samoa	February, Friday	18 : 53
HM136	Uganda	February, Thursday	19 : 4
ET154	Afghanistan	February, Saturday	17 : 38
ID201	Venezuela	June, Sunday	21 : 28
LS206	Mauritius	June, Thursday	16 : 30
TT266	Barbados	May, Thursday	10 : 15
SL148	Guinea	December, Monday	13 : 48
GQ273	Mali	August, Sunday	3 : 49
LI188	China	December, Monday	14 : 10
MU104	Seychelles	September, Wednesday	3 : 4
GF139	Chad	October, Sunday	21 : 47
MT206	Brazil	March, Monday	13 : 58
EE233	Andorra	November, Sunday	6 : 29
NZ196	Christmas Island	April, Thursday	18 : 2
EC197	Armenia	January, Sunday	18 : 40
TO172	Barbados	January, Saturday	2 : 45
FO156	Guinea-Bissau	March, Friday	8 : 49
AQ131	Seychelles	September, Thursday	10 : 2
BW136	Dominican Republic	July, Thursday	2 : 24
NF190	Zambia	July, Tuesday	7 : 23
PF174	India	March, Sunday	16 : 52
FJ183	Svalbard & Jan Mayen Islands	September, Sunday	2 : 55
